Sources can be outdated very quickly and thus will be updated periodically - otherwise refer also to state ministries etc. where numbers differ as updating checks are made by us from Kreis (district) to Landes (state) or within the district websites,,,,,,,,,,,,,,,,,,,,,,,,
"Data can be used for reproduction with attribution to ""Risklayer GmbH (www.risklayer.com) and Center for Disaster Management and Risk Reduction Technology (CEDIM) at Karlsruhe Institute of Technology (KIT) and the Risklayer-CEDIM SARS-CoV-2 Crowdsourcing Contributors"".",,,,,,,|,,,,,,,,,,,,,,,,,
"Please watch out for Landkreis vs. Stadt. Bitte aufpassen, dass ihr nicht Kreisfreie Stadt und Landkreis verwechselt - Vielen Dank  (and Thanks) für die Hilfe und Bereitschaft, Trends für Deutschland auf Kreisebene darzustellen!",,,,,,,HIER BITTE ANFANGEN,,,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,
Amberg-Sulzbach,Landkreis,15,0%,"https://www.kreis-as.de/Verwaltung-Politik/Aktuelles/Coronavirus/Weiterer-Coronavirus-Fall-im-Amberg-Sulzbacher-Land.php?object=tx,3131.5&ModID=7&FID=3131.4719.1&NavID=3132.84&La=1","https://www.kreis-as.de/Verwaltung-Politik/Aktuelles/Coronavirus/Weiterer-Coronavirus-Fall-im-Amberg-Sulzbacher-Land.php?object=tx,3131.5&ModID=7&FID=3131.4719.1&NavID=3132.84&La=1",19/03/2020 00:00,17,,60,,,3/19/2020 12:20,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Ammerland,Landkreis,14,27%,https://www.ammerland.de/Aktuelles/Topthemen/Coronavirus/,https://www.ammerland.de/Aktuelles/Topthemen/Coronavirus/,19/03/2020 00:00,15,,,,,,,,1,,,,,,,,,3
Anhalt-Bitterfeld,Landkreis,6,0%,http://www.anhalt-bitterfeld.de/media/pdf/corona/coronas-krise_-_presseinformation__16._maerz_2020__14_uhr.pdf,http://www.anhalt-bitterfeld.de/de/buergerservice/informationen-zum-coronavirus-20024087.html,18/03/2020 16:30,6,,,,,,,,0,,,,,,,,,15
Ansbach,Kreisfreie Stadt,1,0%,https://www.ansbach.de/B%C3%BCrger/Sicherheit-Ordnung/Informationen-zum-Coronavirus,https://www.ansbach.de/B%C3%BCrger/Sicherheit-Ordnung/Informationen-zum-Coronavirus,19/03/2020 00:00,8,,,,,https://www.landkreis-ansbach.de/Leben-im-Landkreis/Gesundheit-Soziales/Coronavirus,https://www.aschaffenburg.de/Aktuelles/Coronavirus/DE_index_5409_74954.html,@Stuqa,1,,,,,,,,,9
Ansbach,Landkreis,3,0%,https://www.landkreis-ansbach.de/Leben-im-Landkreis/Gesundheit-Soziales/Coronavirus,https://www.landkreis-ansbach.de/Leben-im-Landkreis/Gesundheit-Soziales/Coronavirus,19/03/2020 00:00,14,,,,,https://www.landkreis-ansbach.de/Leben-im-Landkreis/Gesundheit-Soziales/Coronavirus,https://www.aschaffenburg.de/Aktuelles/Coronavirus/DE_index_5409_74954.html,@Stuqa,1,,,,,,,,,9
Aschaffenburg,Kreisfreie Stadt,26,0%,https://www.aschaffenburg.de/Aktuelles/Coronavirus/DE_index_5409_74954.html,https://www.aschaffenburg.de/Aktuelles/Coronavirus/DE_index_5409_74954.html,19/03/2020 00:00,20,,,,,,,,1,,,,,,,,,9
Aschaffenburg,Landkreis,23,0%,https://www.landkreis-aschaffenburg.de/wer-macht-was/gesund-soziales/gesund/corona/,https://www.landkreis-aschaffenburg.de/wer-macht-was/gesund-soziales/gesund/corona/,19/03/2020 00:00,26,,,,,3/19/2020 13:25,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Augsburg,Kreisfreie Stadt,30,36%,https://www.augsburg.de/umwelt-soziales/gesundheit/coronavirus,https://www.augsburg.de/umwelt-soziales/gesundheit/coronavirus,19/03/2020 00:00,34,,,,,3/19/2020 13:28,https://www.augsburg.de/umwelt-soziales/gesundheit/coronavirus,@LunaticMax,1,,,,,,,,,9
Augsburg,Landkreis,41,17%,https://www.landkreis-augsburg.de/,https://www.landkreis-augsburg.de/,19/03/2020 00:00,41,,,,,3/19/2020 13:28,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,0,,,,,,,,,9
Aurich,Landkreis,22,29%,https://www.landkreis-aurich.de/soziales-gesundheit/gesundheit/aktuelle-informationen-zum-thema-corona/news.html,https://www.landkreis-aurich.de/soziales-gesundheit/gesundheit/aktuelle-informationen-zum-thema-corona/news.html,19/03/2020 00:00,22,,,,,,,,0,,,,,,,,,3
Bad Dürkheim,Landkreis,35,84%,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,19/03/2020 00:00,48,,,,,19/03/2020 11:30,https://lua.rlp.de/de/presse/detail/news/News/detail/coronavirus-sars-cov-2-aktuelle-fallzahlen-fuer-rheinland-pfalz/,,1,,,,,,,,,7
Bad Kissingen,Landkreis,9,29%,https://www.landkreis-badkissingen.de/buerger--politik/aktuelle-meldungen/informationen-zum-corona-virus/aktuelle-meldungen-zum-coronavirus/10775.Vier-weitere-bestaetigte-Coronafaelle-im-Landkreis-Bad-Kissingen.html,https://www.landkreis-badkissingen.de/buerger--politik/aktuelle-meldungen/informationen-zum-corona-virus/aktuelle-meldungen-zum-coronavirus/10775.Vier-weitere-bestaetigte-Coronafaelle-im-Landkreis-Bad-Kissingen.html,19/03/2020 00:00,9,,,,,3/19/2020 13:32,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,0,,,,,,,,,9
Bad Kreuznach,Landkreis,25,9%,https://www.kreis-badkreuznach.de/kreisverwaltung/organisation/amt-7-gesundheitsamt/coronavirus/aktuellste-meldung-aus-dem-landkreis/,https://www.kreis-badkreuznach.de/kreisverwaltung/organisation/amt-7-gesundheitsamt/coronavirus/aktuellste-meldung-aus-dem-landkreis/,19/03/2020 00:00,25,,,,,,,,0,,,,,,,,,7
Bad Tölz-Wolfratshausen,Landkreis,11,0%,https://www.lra-toelz.de/ein-weiterer-coronavirus-fall-im-landkreis-bad-toelz-wolfratshausen-am-sonntag-bestaetigt,https://www.lra-toelz.de/ein-weiterer-coronavirus-fall-im-landkreis-bad-toelz-wolfratshausen-am-sonntag-bestaetigt,19/03/2020 00:00,21,,,,,3/19/2020 13:33,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Baden-Baden,Stadtkreis,14,17%,https://www.landkreis-rastatt.de/Startseite/aktuelles/corona+-+aktuelle+situation+im+landkreis+rastatt+und+stadtkreis+baden-baden.html,https://www.landkreis-rastatt.de/site/kreis-rastatt/get/documents_E937746122/kreis-rastatt/Objekte/02_Landratsamt/pdf-Dateien/Gesundheitsamt/CORONA_Grafische%20Darstellung%20Landkreis%20Rastatt%20und%20Stadtkreis%20Baden-Baden.pdf,19/03/2020 00:00,28,,,,,,,,1,,,,,,,,,8
Bamberg,Kreisfreie Stadt,11,22%,"https://www.landkreis-bamberg.de/Kurzmen%C3%BC/Startseite/index.php?&object=tx,2892.5&ModID=255&FID=2892.1832.1&kat=&kuo=1&call=0&k_sub=0&La=1","https://www.landkreis-bamberg.de/Landratsamt/Öffentlichkeitsarbeit/Pressemitteilungen/27-bestätigte-Corona-Infektionen.php?object=tx,2892.5&ModID=7&FID=2892.1846.1&NavID=2892.155.1&La=1",18/03/2020 23:40,10,,,,,3/19/2020 13:35,"https://www.landkreis-bamberg.de/Kurzmen%C3%BC/Startseite/index.php?&object=tx,2892.5&ModID=255&FID=2892.1832.1&kat=&kuo=1&call=0&k_sub=0&La=1",@LunaticMax,1,,,,,,,,,9
Bamberg,Landkreis,16,60%,"https://www.landkreis-bamberg.de/Kurzmen%C3%BC/Startseite/index.php?&object=tx,2892.5&ModID=255&FID=2892.1832.1&kat=&kuo=1&call=0&k_sub=0&La=1","https://www.landkreis-bamberg.de/Landratsamt/Öffentlichkeitsarbeit/Pressemitteilungen/27-bestätigte-Corona-Infektionen.php?object=tx,2892.5&ModID=7&FID=2892.1846.1&NavID=2892.155.1&La=1",18/03/2020 23:40,16,,,,,3/19/2020 13:35,"https://www.landkreis-bamberg.de/Kurzmen%C3%BC/Startseite/index.php?&object=tx,2892.5&ModID=255&FID=2892.1832.1&kat=&kuo=1&call=0&k_sub=0&La=1",@LunaticMax,0,,,,,,,,,9
Barnim,Landkreis,20,100%,https://www.barnim.de/leben-in-barnim/gesundheit/coronavirus.html,https://www.barnim.de/leben-in-barnim/gesundheit/coronavirus.html,19/03/2020 00:00,20,,,,,,,,0,,,,,,,,,12
Bautzen,Landkreis,36,50%,https://www.landkreis-bautzen.de/lagebericht-corona-virus-im-landkreis-bautzen-stand-16-00-uhr.php,https://www.landkreis-bautzen.de/lagebericht-corona-virus-im-landkreis-bautzen-stand-16-00-uuhr.php,18/03/2020 17:10,36,,,,,,,,0,,,,,,,,,14
Bayreuth,Kreisfreie Stadt,3,200%,https://www.bayreuth.de/rathaus-buergerservice/leben-in-bayreuth/notfaelle-gesundheit/notfaelle-gesundheit/,https://www.landkreis-bayreuth.de/der-landkreis/pressemitteilungen/aktuelle-lage-im-rahmen-der-corona-epidemie/,18.03.2020,3,,,,,3/19/2020 13:38,https://www.landkreis-bayreuth.de/der-landkreis/pressemitteilungen/aktuelle-lage-im-rahmen-der-corona-epidemie/,@LunaticMax,0,,,,,,,,,9
Bayreuth,Landkreis,9,50%,https://www.landkreis-bayreuth.de/umwelt-gesundheit/coronavirus-wir-informieren/allgemeine-informationen/,https://www.landkreis-bayreuth.de/der-landkreis/pressemitteilungen/aktuelle-lage-im-rahmen-der-corona-epidemie/,18.03.2020,9,,,,,3/19/2020 13:38,https://www.landkreis-bayreuth.de/der-landkreis/pressemitteilungen/aktuelle-lage-im-rahmen-der-corona-epidemie/,@LunaticMax,0,,,,,,,,,9
Berchtesgadener Land,Landkreis,13,44%,https://www.lra-bgl.de/t/das-landratsamt/aktuelles/details/news///weitere-coronavirus-infektionen-im-landkreis-berchtesgadener-land/,https://www.lra-bgl.de/t/das-landratsamt/aktuelles/details/news///weitere-coronavirus-infektionen-im-landkreis-berchtesgadener-land/,18/03/2020 19:00,13,,158,,,3/19/2020 13:38,https://www.lra-bgl.de/t/das-landratsamt/aktuelles/details/news///weitere-coronavirus-infektionen-im-landkreis-berchtesgadener-land/,@LunaticMax,0,,,,,,,,,9
Bergstraße,Landkreis,31,24%,https://www.kreis-bergstrasse.de/magazin/artikel.php?artikel=7325&menuid=473&topmenu=467,https://www.kreis-bergstrasse.de/magazin/artikel.php?artikel=7325&menuid=473&topmenu=467,19/03/2020 00:00,31,,,,,,,,0,,,,,,,,,6
Berlin,Kreisfreie Stadt,519,36%,https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php,https://www.berlin.de/sen/gpg/service/presse/2020/pressemitteilung.908263.php,18/03/2020 20:10,573,,,,,,,,1,,,,,,,,,11
Bernkastel-Wittlich,Landkreis,9,29%,https://www.bernkastel-wittlich.de/aktuelles/details/news/zwei-weitere-covid-19-faelle-im-landkreis-bernkastel-wittlich/,https://www.bernkastel-wittlich.de/aktuelles/details/news/zwei-weitere-covid-19-faelle-im-landkreis-bernkastel-wittlich/,18/03/2020 20:00,9,,,,,,,,0,,,,,,,,,7
Biberach,Landkreis,45,18%,https://www.biberach.de/aktuelles/presse/pressemitteilungen-2020/detailansicht-2020/article/corona-teilnehmer-einer-gemeinderatssitzung-positiv-getestet.html,https://www.biberach.de/aktuelles/presse/pressemitteilungen-2020/detailansicht-2020/article/corona-teilnehmer-einer-gemeinderatssitzung-positiv-getestet.html,18/03/2020 16:54,45,,,,,,,,0,,,,,,,,,8
Bielefeld,Kreisfreie Stadt,49,14%,https://www.bielefeld.de/de/gs/covi/,https://www.bielefeld.de/de/gs/covi/,18/03/2020 12:00,55,,888,,,,,,1,,,,,,,,,5
Birkenfeld,Landkreis,2,0%,https://www.birkenfeld-enzkreis.de/buergerservice/corona/aktuelle-informationen-zum-corona-virus-id_2629/,https://www.birkenfeld-enzkreis.de/buergerservice/corona/aktuelle-informationen-zum-corona-virus-id_2629/,19/03/2020 00:00,4,,,,,,https://lua.rlp.de/de/presse/detail/news/News/detail/coronavirus-sars-cov-2-aktuelle-fallzahlen-fuer-rheinland-pfalz/,passix_,1,,,,,,,,,7
Böblingen,Landkreis,66,0%,https://www.krzbb.de/krz_50_111859080-13-_Corona-Oeffentliches-Leben-im-Kreis-Boeblingen-wird-weiter-eingeschraenkt.html,https://www.krzbb.de/krz_50_111859080-13-_Corona-Oeffentliches-Leben-im-Kreis-Boeblingen-wird-weiter-eingeschraenkt.html,19/03/2020 00:00,66,,,,,,,,0,,,,,,,,,8
Bochum,Kreisfreie Stadt,39,50%,https://www.bochum.de/Corona,https://www.bochum.de/Corona,18/03/2020 19:06,39,,,,,,,,0,,,,,,,,,5
Bodenseekreis,Landkreis,66,38%,https://www.swr.de/swraktuell/baden-wuerttemberg/friedrichshafen/coronafaelle-bodensee-oberschwaben-100.html,https://www.bodenseekreis.de/de/soziales-gesundheit/gesundheit/infektionsschutz/infektionskrankheiten/corona-virus/,19/03/2020 00:00,66,,220,,,,,,0,,,,,,,,,8
Bonn,Kreisfreie Stadt,69,8%,https://www.bonn.de/themen-entdecken/gesundheit-verbraucherschutz/coronavirus.php,https://www.bonn.de/themen-entdecken/gesundheit-verbraucherschutz/coronavirus.php,18/03/2020 15:00,75,,,,,,,,1,,,,,,,,,5
Börde,Landkreis,22,38%,https://www.landkreis-boerde.de/menschen/gesundheit/coronavirus/aktuelle-kurznachrichten/,https://www.landkreis-boerde.de/menschen/gesundheit/coronavirus/aktuelle-kurznachrichten/,19/03/2020 00:00,22,,,,,,,,0,,,,,,,,,15
Borken,Kreis,164,33%,https://www.presse-service.de/data.aspx/static/?ID=1040027f.html,https://kreis-borken.de/de/service/aktuelles/aktuelle-pressemeldungen/,18/03/2020 17:00,187,,,,,,https://www.bezreg-muenster.de/de/presse/2020/2020-03-06_corona-infektionen/index.html,,1,,,,,,,,,5
Bottrop,Kreisfreie Stadt,10,11%,https://www.bottrop.de/soziales/gesundheit/infos-zum-coronavirus/index.php,https://www.bottrop.de/soziales/gesundheit/infos-zum-coronavirus/index.php,18/03/2020 19:15,10,,,,,,,,0,,,,,,,,,5
Brandenburg an der Havel,Kreisfreie Stadt,2,100%,https://www.stadt-brandenburg.de/leben/gesundheit/coronavirus-ncov/,https://www.stadt-brandenburg.de/leben/gesundheit/coronavirus-ncov/,18/03/2020 15:00,2,,,,,,,,0,,,,,,,,,12
Braunschweig,Kreisfreie Stadt,13,8%,https://www.braunschweig.de/politik_verwaltung/nachrichten/corona.php#Aktuelle_Informationen,https://www.braunschweig.de/politik_verwaltung/nachrichten/corona.php#Aktuelle_Informationen,18/03/2020 19:15,13,,,,,,,,0,,,,,,,,,3
Breisgau-Hochschwarzwald,Landkreis,89,39%,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,18/03/2020 07:00,126,,,,,,,,1,,,,,,,,,8
Bremen,Kreisfreie Stadt,62,15%,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.332125.de&asl=bremen02.c.732.de,https://www.butenunbinnen.de/nachrichten/gesellschaft/corona-liveticker-bremen-104.html,3/19/2020 1:23:00,62,,,,,,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.332125.de&asl=bremen02.c.732.de,,0,,,,,,,,,4
Bremerhaven,Kreisfreie Stadt,13,8%,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.332125.de&asl=bremen02.c.732.de,https://www.butenunbinnen.de/nachrichten/gesellschaft/corona-liveticker-bremen-104.html,3/19/2020 1:23:00,13,,,,,,https://www.senatspressestelle.bremen.de/detail.php?gsid=bremen146.c.332125.de&asl=bremen02.c.732.de,,0,,,,,,,,,4
Burgenlandkreis,Landkreis,12,50%,https://www.burgenlandkreis.de/de/quicklinks/corona-virus-aktuelle-entwicklung-20049167.html,https://www.burgenlandkreis.de/de/quicklinks/corona-virus-aktuelle-entwicklung-20049167.html,18/03/2020 16:30,12,,,,,,,,0,,,,,,,,,15
Calw,Landkreis,77,33%,"https://www.kreis-calw.de/Schnellnavigation/Startseite/19-weitere-Corona-F%C3%A4lle-im-Landkreis-Calw.php?object=tx,2442.14&ModID=7&FID=2442.12277.1","https://www.kreis-calw.de/Schnellnavigation/Startseite/Zehn-weitere-Corona-F%C3%A4lle-im-Landkreis-Calw.php?object=tx,2442.14&ModID=7&FID=2442.12274.1",17.03.2020 18:00,77,,,,,,,,0,,,,,,,,,8
Celle,Landkreis,21,40%,https://www.cellesche-zeitung.de/Celle/Aus-der-Stadt/Celle-Stadt/Celle-wegen-Coronavirus-im-Krisenmodus-Geschaeft-in-Innenstadt-geschlossen,https://www.cellesche-zeitung.de/Celle/Aus-der-Stadt/Celle-Stadt/Celle-wegen-Coronavirus-im-Krisenmodus-Geschaeft-in-Innenstadt-geschlossen,18/03/2020 18:54,21,,120,,,,,,0,,,,,,,,,3
Cham,Landkreis,29,26%,https://www.landkreis-cham.de/aktuelles-nachrichten/coronavirus/,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,18/03/2020 12:00,31,,,,,3/19/2020 13:41,https://www.lgl.bayern.de/gesundheit/infektionsschutz/infektionskrankheiten_a_z/coronavirus/karte_coronavirus/index.htm,@LunaticMax,1,,,,,,,,,9
Chemnitz,Kreisfreie Stadt,18,13%,https://chemnitz.de/chemnitz/de/leben-in-chemnitz/gesundheit/gesundheitsschutz/coronavirus/index.html,https://www.sms.sachsen.de/coronavirus.html,18/03/2020 16:30,18,,,,,,,,0,,,,,,,,,14
Cloppenburg,Landkreis,2,0%,https://lkclp.de/gesundheit-soziales/gesundheit/aktuelles-zum-coronavirus--fragen-und-antworten.php?back=true,https://lkclp.de/gesundheit-soziales/gesundheit/aktuelles-zum-coronavirus--fragen-und-antworten.php?back=true,19/03/2020 00:00,2,,,,,,,,0,,,,,,,,,3
Coburg,Kreisfreie Stadt,3,50%,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,18.03.2020 16:00,3,,,,,3/19/2020 13:42,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,@LunaticMax,0,,,,,,,,,9
Coburg,Landkreis,10,67%,https://www.landkreis-coburg.de/2506-0-Coronavirus-Aktueller-Stand-der-Corona-Virus-Infektionen-in-Stadt-und-Landkreis-Coburg.html,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,18.03.2020 16:00,10,,,,,3/19/2020 13:42,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,@LunaticMax,0,,,,,,,,,9
Cochem-Zell,Landkreis,35,40%,https://www.cochem-zell.de/kv_cochem_zell/Unsere%20Themen/Gesundheitsamt/Informationen%20%C3%BCber%20das%20Coronavirus/Gesundheitsamt%20informiert%20%C3%BCber%20den%20aktuellen%20Stand%20der%20Corona-F%C3%A4lle%20im%20Landkreis%20und%20appelliert%20weiterhin%20an%20die%20Eigenverantwortung/,https://www.cochem-zell.de/kv_cochem_zell/Unsere%20Themen/Gesundheitsamt/Aktuelle%20Coronafallzahlen%20im%20Landkreis%20Cochem-Zell/,18/03/2020 16:30,38,,,,,,,,1,,,,,,,,,7
Coesfeld,Kreis,85,21%,https://www.kreis-coesfeld.de/nachrichten-details.html?tx_news_pi1%5Bnews%5D=6384&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=fbc526888b1c1ad0942c67f01357deb4,https://www.kreis-coesfeld.de/nachrichten-details.html?tx_news_pi1%5Bnews%5D=6384&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=fbc526888b1c1ad0942c67f01357deb4,19/03/2020 00:00,93,,,,,,https://www.bezreg-muenster.de/de/presse/2020/2020-03-06_corona-infektionen/index.html,,1,,,,,,,,,5
Cottbus,Kreisfreie Stadt,20,18%,http://www.cottbus.de/verwaltung/gb_iii/gesundheit/coronavirus_covid-19_sars-cov-2.html,http://www.cottbus.de/verwaltung/gb_iii/gesundheit/coronavirus_covid-19_sars-cov-2.html,18/03/2020 17:30,20,,130,,,,,,0,,,,,,,,,12
Cuxhaven,Landkreis,22,69%,https://www.landkreis-cuxhaven.de/Corona,https://www.landkreis-cuxhaven.de/Corona,18/03/2020 17:00,22,,,,,,,,0,,,,,,,,,3
Dachau,Landkreis,35,94%,https://www.landratsamt-dachau.de/aktuelles/pressemitteilungen/aktuelle-lage-zum-coronavirus-im-landkreis-dachau-stand-16032020-1830-uhr/,https://www.landratsamt-dachau.de/gesundheit-veterinaerwesen-sicherheitsrecht/gesundheit/infektionsschutz-infektionskrankheiten-umweltmedizin/coronavirus/,18/03/2020 17:00,35,,,,,,,@LunaticMax,0,,,,,,,,,9
