Sources can be outdated very quickly and thus will be updated periodically - otherwise refer also to state ministries etc. where numbers differ as updating checks are made by us from Kreis (district) to Landes (state) or within the district websites,,,,,,,,,,,,,,,,,,,,
"Data can be used for reproduction with attribution to ""Risklayer GmbH (www.risklayer.com) and Center for Disaster Management and Risk Reduction Technology (CEDIM) at Karlsruhe Institute of Technology (KIT) and the Risklayer-CEDIM SARS-CoV-2 Crowdsourcing Contributors"".",,,,,,,,,,,,,,,,,,,,
Contact: James Daniell (@JamesEDaniell on Twitter) or via the Risklayer Website; and Johannes Brand (@JohannesBrand98).,,,,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Erste,Zweite,Zweite,Zweite,Zweite,Dritte,Dritte,Dritte,Dritte,
Biberach,Landkreis,38,https://www.biberach.de/aktuelles/presse/pressemitteilungen-2020/detailansicht-2020/article/corona-teilnehmer-einer-gemeinderatssitzung-positiv-getestet.html,38,,,,,,,,,,,,,,,,8
Bielefeld,Kreisfreie Stadt,43,https://www.bielefeld.de/de/gs/covi/,49,,703,,,18/03/2020 12:00 ,https://www.bielefeld.de/de/gs/covi/,@_MitschiBoy_,,,,,,,,,5
Birkenfeld,Landkreis,2,https://www.birkenfeld-enzkreis.de/buergerservice/corona/aktuelle-informationen-zum-corona-virus-id_2629/,2,,,,,,,,,,,,,,,,7
Böblingen,Landkreis,66,https://www.krzbb.de/krz_50_111859080-13-_Corona-Oeffentliches-Leben-im-Kreis-Boeblingen-wird-weiter-eingeschraenkt.html,66,,,,,,,,,,,,,,,,8
Bochum,Kreisfreie Stadt,26,https://www.bochum.de/Corona,26,,,,,,,,,,,,,,,,5
Bodenseekreis,Landkreis,48,https://www.bodenseekreis.de/de/soziales-gesundheit/gesundheit/infektionsschutz/infektionskrankheiten/corona-virus/,48,,,,,,,,,,,,,,,,8
Bonn,Kreisfreie Stadt,64,https://www.bonn.de/themen-entdecken/gesundheit-verbraucherschutz/coronavirus.php,64,,,,,,,,,,,,,,,,5
Börde,Landkreis,16,https://www.landkreis-boerde.de/menschen/gesundheit/coronavirus/aktuelle-kurznachrichten/,16,,,,,,,,,,,,,,,,15
Borken,Kreis,123,https://www.presse-service.de/data.aspx/static/?ID=1040027f.html,123,,,,,,,,,,,,,,,,5
Bottrop,Kreisfreie Stadt,9,https://www.bottrop.de/soziales/gesundheit/infos-zum-coronavirus/index.php,9,,79,,,,,,,,,,,,,,5
Brandenburg an der Havel,Kreisfreie Stadt,1,https://www.stadt-brandenburg.de/leben/gesundheit/coronavirus-ncov/,1,,,,,,,,,,,,,,,,12
Braunschweig,Kreisfreie Stadt,12,https://www.braunschweig.de/politik_verwaltung/nachrichten/corona.php#Aktuelle_Informationen,12,,,,,,,,,,,,,,,,3
Breisgau-Hochschwarzwald,Landkreis,64,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,64,,,,,,,,,,,,,,,,8
Bremen,Kreisfreie Stadt,54,https://www.butenunbinnen.de/nachrichten/gesellschaft/liveticker-coronavirus-bremen-104.html,54,,,,,,,,,,,,,,,,4
Bremerhaven,Kreisfreie Stadt,12,https://www.butenunbinnen.de/nachrichten/gesellschaft/liveticker-coronavirus-bremen-104.html,12,,,,,,,,,,,,,,,,4
Burgenlandkreis,Landkreis,8,https://www.burgenlandkreis.de/de/quicklinks/corona-virus-aktuelle-entwicklung-20049167.html,8,,,,,,,,,,,,,,,,15
Calw,Landkreis,58,"https://www.kreis-calw.de/Schnellnavigation/Startseite/Zehn-weitere-Corona-F%C3%A4lle-im-Landkreis-Calw.php?object=tx,2442.14&ModID=7&FID=2442.12274.1",58,,,,,,,,,,,,,,,,8
Celle,Landkreis,15,https://www.cellesche-zeitung.de/Celle/Aus-der-Stadt/Celle-Stadt/Celle-wegen-Coronavirus-im-Krisenmodus-Geschaeft-in-Innenstadt-geschlossen,15,,,,,,,,,,,,,,,,3
Cham,Landkreis,23,https://www.landkreis-cham.de/aktuelles-nachrichten/coronavirus/,23,,,,,,,,,,,,,,,,9
Chemnitz,Kreisfreie Stadt,16,https://chemnitz.de/chemnitz/de/leben-in-chemnitz/gesundheit/gesundheitsschutz/coronavirus/index.html,16,,,,,,,,,,,,,,,,14
Cloppenburg,Landkreis,2,https://lkclp.de/gesundheit-soziales/gesundheit/aktuelles-zum-coronavirus--fragen-und-antworten.php?back=true,2,,,,,,,,,,,,,,,,3
Coburg,Kreisfreie Stadt,2,https://www.coburg.de/desktopdefault.aspx/tabid-2754/2818_read-16990/,2,,,,,,,,,,,,,,,,9
Coburg,Landkreis,6,https://www.landkreis-coburg.de/2506-0-Coronavirus-Aktueller-Stand-der-Corona-Virus-Infektionen-in-Stadt-und-Landkreis-Coburg.html,6,,,,,,,,,,,,,,,,9
Cochem-Zell,Landkreis,25,https://www.cochem-zell.de/kv_cochem_zell/Unsere%20Themen/Gesundheitsamt/Informationen%20%C3%BCber%20das%20Coronavirus/Gesundheitsamt%20informiert%20%C3%BCber%20den%20aktuellen%20Stand%20der%20Corona-F%C3%A4lle%20im%20Landkreis%20und%20appelliert%20weiterhin%20an%20die%20Eigenverantwortung/,25,,,,,,,,,,,,,,,,7
Coesfeld,Kreis,70,https://www.kreis-coesfeld.de/nachrichten-details.html?tx_news_pi1%5Bnews%5D=6384&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=fbc526888b1c1ad0942c67f01357deb4,70,,,,,,,,,,,,,,,,5
Cottbus,Kreisfreie Stadt,17,http://www.cottbus.de/verwaltung/gb_iii/gesundheit/coronavirus_covid-19_sars-cov-2.html,17,,,,,,,,,,,,,,,,12
Cuxhaven,Landkreis,13,https://www.landkreis-cuxhaven.de/Corona,13,,,,,,,,,,,,,,,,3
Dachau,Landkreis,18,https://www.landratsamt-dachau.de/aktuelles/pressemitteilungen/aktuelle-lage-zum-coronavirus-im-landkreis-dachau-stand-16032020-1830-uhr/,18,,,,,,,,,,,,,,,,9
Dahme-Spreewald,Landkreis,6,https://www.dahme-spreewald.info/de/Politik_&_Verwaltung/Verwaltungsstruktur/Dezernat_fuer_Soziales_Jugend_Gesundheit_und_Kultur/Gesundheitsamt/Coronavirus/58651.html,6,,,,,,,,,,,,,,,,12
Darmstadt,Kreisfreie Stadt,11,https://www.darmstadt.de/nachrichten/darmstadt-aktuell/news/ausbreitung-des-coronavirus,11,,,,,,,,,,,,,,,,6
Darmstadt-Dieburg,Landkreis,14,https://perspektive.ladadi.de/index.php?id=137,14,,,,,,,,,,,,,,,,6
Deggendorf,Landkreis,21,https://www.landkreis-deggendorf.de/aktuelles/aus-dem-landkreis/info-coronavirus/,21,,,,,,,,,,,,,,,,9
Delmenhorst,Kreisfreie Stadt,5,https://www.delmenhorst.de/aktuelles/coronavirus.php,5,,,,,,,,,,,,,,,,3
Dessau-Roßlau,Kreisfreie Stadt,3,https://verwaltung.dessau-rosslau.de/stadt-buerger/neuigkeiten/detailseite/article/corona-virus-breitet-sich-aus.html,3,,,,,,,,,,,,,,,,15
Diepholz,Landkreis,35,https://www.diepholz.de/portal/meldungen/einheitliches-vorgehen-zur-eindaemmung-des-coronavirus-900004957-21750.html?rubrik=900000022,35,,,,,,,,,,,,,,,,3
Dillingen a.d. Donau,Landkreis,0,https://alp.dillingen.de/aktuelles/beitrag/informationen-zum-corona-virus-covid-19/,0,,,,,,,,,,,,,,,,9
Dingolfing-Landau,Landkreis,14,https://www.landkreis-dingolfing-landau.de/buergerservice/coronavirus/,14,,,,,,,,,,,,,,,,9
Dithmarschen,Kreis,6,https://www.dithmarschen.de/Neues-erfahren/Pressemitteilungen,6,,,,,,,,,,,,,,,,1
Donau-Ries,Landkreis,10,https://www.donau-ries.de/Landratsamt/Buergerservice/Aufgabenbereiche/Gesundheitsamt-Humanmedizin.aspx,10,,,,,,,,,,,,,,,,9
Donnersbergkreis,Landkreis,11,https://www.donnersberg.de/donnersbergkreis/Aktuelles/Aktuelles%20aus%20dem%20Kreishaus/2020/M%C3%A4rz/Gesundheitsamt%20Aktuell%3A%20SARS-CoV-2%20-%2017.%20M%C3%A4rz/,11,,,,,,,,,,,,,,,,7
Dortmund,Kreisfreie Stadt,62,https://www.dortmund.de/de/leben_in_dortmund/nachrichtenportal/alle_nachrichten/nachricht.jsp?nid=622746,62,,,,,,,,,,,,,,,,5
Dresden,Kreisfreie Stadt,40,https://www.sms.sachsen.de/coronavirus.html,40,,,,,,,,,,,,,,,,14
Duisburg,Kreisfreie Stadt,46,https://www.duisburg.de/allgemein/fachbereiche/gesundheitsamt/corona-virus_allgemeine-informationen.php#Aktuelle_Informationen_zum_Coronavirus-2C_Stand_15-03--2C_09-00_Uhr,52,,,,,,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,,,,,,,,,5
Düren,Kreis,54,https://www.kreis-dueren.de/aktuelles/presse/corona-aktuelles.php,54,,,,,,,,,,,,,,,,5
Düsseldorf,Kreisfreie Stadt,130,https://www.duesseldorf.de/?L=,130,,,,,,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,,,,,,,,,5
Ebersberg,Landkreis,29,https://lra-ebe.de/aktuelles/aktuelle-meldungen/corona-virus-aktuelle-informationen-14-maerz-2020/,29,,,,,,,,,,,,,,,,9
Eichsfeld,Landkreis,3,https://www.kreis-eic.de/pressemitteilungen.html,3,,,,,,,,,,,,,,,,16
Eichstätt,Landkreis,3,https://www.landkreis-eichstaett.de/aktuelles/presseberichte/weiterer-bestaetigter-fall-von-covid-19-im-landkreis-eichstaett/,3,,,,,,,,,,,,,,,,9
Eifelkreis Bitburg-Prüm,Landkreis,21,https://www.bitburg-pruem.de/cms/aktuell/pressemitteilungen,21,,,,,,,,,,,,,,,,7
Eisenach,Kreisfreie Stadt,2,https://www.eisenach.de/startseite,2,,,,,,,,,,,,,,,,16
Elbe-Elster,Landkreis,6,https://www.lkee.de/Service-Verwaltung/Kreisverwaltung/Gesundheitsamt/Coronavirus,6,,,,,,,,,,,,,,,,12
Emden,Kreisfreie Stadt,4,https://www.emden.de/rathaus/verwaltung/verwaltungsvorstand/video,4,,,,,,,,,,,,,,,,3
Emmendingen,Landkreis,60,https://www.landkreis-emmendingen.de/aktuelles/nachrichten-aus-dem-landkreis/?tx_hwnews_hwnews%5BnewsartikelId%5D=678&tx_hwnews_hwnews%5BcurrentPage%5D=1&tx_hwnews_hwnews%5Baction%5D=show&tx_hwnews_hwnews%5Bcontroller%5D=Newsartikel&cHash=aab4f31affa2b99c5b9059e772a932e4,60,,,,,,,,,,,,,,,,8
Emsland,Landkreis,36,https://www.emsland.de/buerger-behoerde/aktuell/coronavirus/fallzahlen-den-emslaendischen-kommunen.html,36,,,,,,,,,,,,,,,,3
Ennepe-Ruhr-Kreis,Kreis,32,https://www.enkreis.de/,32,,,,,,,,,,,,,,,,5
Enzkreis,Landkreis,11,"https://www.enzkreis.de/Quicknavigation/Start/Gesundheitsamt-informiert-%C3%BCber-das-neue-Coronavirus-SARS-CoV-2-18-best%C3%A4tigte-F%C3%A4lle-in-Pforzheim-und-im-Enzkreis.php?object=tx,2891.6&ModID=7&FID=2891.1978.1",11,,,,,,,,,,,,,,,,8
Erding,Landkreis,28,https://www.lra-ebe.de/aktuelles/aktuelle-meldungen/corona-virus-aktuelle-informationen-stand-16-maerz-2020/,28,,,,,,,,,,,,,,,,9
Erfurt,Kreisfreie Stadt,16,https://www.erfurt.de/ef/de/service/aktuelles/am/2020/135164.html,16,,,,,,,,,,,,,,,,16
Erlangen,Kreisfreie Stadt,12,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,12,,,,,,,,,,,,,,,,9
Erlangen-Höchstadt,Landkreis,7,https://www.erlangen-hoechstadt.de/aktuelles/meldungen/neuartiges-corona-virus-sars-cov-2/,7,,,,,,,,,,,,,,,,9
Erzgebirgskreis,Landkreis,11,https://www.erzgebirgskreis.de/de/?no_cache=1,11,,,,,,,,,,,,,,,,14
Essen,Kreisfreie Stadt,113,https://www.essen.de/gesundheit/coronavirus_aktuell.de.html,115,,,,,,http://www.brd.nrw.de/bausteine/_TT/TT_Corona_Virus_Karte_F.html,,,,,,,,,,5
Esslingen,Landkreis,206,https://www.landkreis-esslingen.de/start/kultur/caz+stark+ueberlastet.html,206,,,,,,,,,,,,,,,,8
Euskirchen,Kreis,13,https://www.kreis-euskirchen.de/kreishaus/aktuell/neuste-meldung-I.php,13,,,,,,,,,,,,,,,,5
Flensburg,Kreisfreie Stadt,7,"https://www.flensburg.de/Startseite/Informationen-zum-Coronavirus.php?object=tx,2306.5&ModID=7&FID=2306.20374.1",7,,,,,,,,,,,,,,,,1
Forchheim,Landkreis,8,https://lra-fo.de/site/1_home/Pressemitteilungen.php,8,,,,,,,,,,,,,,,,9
Frankenthal (Pfalz),Kreisfreie Stadt,1,https://www.facebook.com/Stadt.Frankenthal.Pfalz,1,,,,,,,,,,,,,,,,7
Frankfurt (Oder),Kreisfreie Stadt,4,"https://www.frankfurt-oder.de/Schnellnavigation/Startseite/OB-Ren%C3%A9-Wilke-informiert-Aktuelles-vom-Tage-Montag-16-M%C3%A4rz-2020.php?object=tx,2616.14&ModID=7&FID=2616.14852.1",4,,,,,,,,,,,,,,,,12
Frankfurt am Main,Kreisfreie Stadt,51,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,51,,,,,,,,,,,,,,,,6
Freiburg im Breisgau,Stadtkreis,64,https://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald/Start/Service+_+Verwaltung/Corona-Virus.html,64,,,,,,,,,,,,,,,,8
Freising,Landkreis,93,https://www.kreis-freising.de/news-veranstaltungen/news/detail/news/detail/News/aktuelle-informationen-zum-neuartigen-coronavirus-covid-19.html?no_cache=1&cHash=ad817213a4637dc739f3ed46f92e26ac,93,,,,,,,,,,,,,,,,9
Freudenstadt,Landkreis,12,https://www.landkreis-freudenstadt.de/Startseite/Aktuell/coronavirus.html,12,,,,,,,,,,,,,,,,8
Freyung-Grafenau,Landkreis,7,https://www.freyung-grafenau.de/verwaltung-und-politik/pressemeldungen/details/news/weiterer-corona-fall-im-landkreis/?tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=22276fde70261e9d5af6f104f9dcf2b3,7,,,,,,,,,,,,,,,,9
Friesland,Landkreis,3,https://www.friesland.de/portal/seiten/neuartiges-coronavirus-in-deutschland-informationen-901001117-20800.html?rubrik=901000006,3,,,,,,,,,,,,,,,,3
Fulda,Landkreis,43,https://www.landkreis-fulda.de/buergerservice/gesundheit/aktuelles#c11139,43,,,,,,,,,,,,,,,,6
Fürstenfeldbruck,Landkreis,22,https://www.lra-ffb.de/amt-service/veroeffentlichungen/pressemitteilungen/,22,,,,,,,,,,,,,,,,9
Fürth,Kreisfreie Stadt,9,https://www.fuerth.de/Home/oeffentliches-leben-weiter-eingeschraenkt.aspx,9,,,,,,,,,,,,,,,,9
Fürth,Landkreis,3,https://www.landkreis-fuerth.de/corona.html,3,,,,,,,,,,,,,,,,9
Garmisch-Partenkirchen,Landkreis,14,https://www.lra-gap.de/de/,14,,,,,,,,,,,,,,,,9
Gelsenkirchen,Kreisfreie Stadt,18,https://www.gelsenkirchen.de/de/Soziales/Gesundheit/Coronavirus/,18,,,,,,,,,,,,,,,,5
Gera,Kreisfreie Stadt,1,https://www.gera.de/sixcms/detail.php?id=200096&_lang=de,13,,,,,,,,,,,,,,,,16
Germersheim,Landkreis,10,https://www.kreis-germersheim.de/kv_germersheim/Unsere%20Themen/Pressemitteilungen/2020/Coronavirus%20-%20Zehn%20positive%20F%C3%A4lle%20im%20Landkreis%20Germersheim%20best%C3%A4tigt/,7,,,,,,,,,,,,,,,,7
Gießen,Landkreis,17,https://www.lkgi.de/gesundheit-und-soziales/3060-gesundheitsamt-informiert-br-ueber-coronavirus,17,,,,,,,,,,,,,,,,6
Gifhorn,Landkreis,20,https://www.gifhorn.de/der-landkreis/presseportal/presseinformationen/artikel-bekanntmachung/news/aktuelle-informationen-zum-coronavirus/,20,,,,,,,,,,,,,,,,3
Göppingen,Landkreis,64,https://filstalwelle.de/shortnews/2020-03-17-landkreis-goeppingen-64-bestaetigte-corona-faelle,64,,,,,,,,,,,,,,,,8
Görlitz,Landkreis,9,http://coronavirus.landkreis.gr/,9,,,,,,,,,,,,,,,,14
Goslar,Landkreis,7,"https://www.landkreis-goslar.de/index.phtml?object=tx,1749.10&ModID=7&FID=94.13479.1&mNavID=1749.9&sNavID=94.35",7,,,,,,,,,,,,,,,,3
Gotha,Landkreis,1,https://www.landkreis-gotha.de/,1,,,,,,,,,,,,,,,,16
Göttingen,Landkreis,19,https://www.goettingen.de/aktuelles/coronavirus-zahl-der-infizierten-menschen-steigt-2020-03-17.html,19,,,,,,,,,,,,,,,,3
Grafschaft Bentheim,Landkreis,11,https://www.grafschaft-bentheim.de/magazin/artikel.php?artikel=6041&type=2&menuid=893&topmenu=893,11,,,,,,,,,,,,,,,,3
Greiz,Landkreis,3,https://www.landkreis-greiz.de/landkreis-greiz/aktuell/,3,,,,,,,,,,,,,,,,16
Groß-Gerau,Landkreis,12,"https://www.gross-gerau.de/Quicknavigation/Startseite/Corona_BGM_Aufruf.php?object=tx,2289.7&ModID=7&FID=2289.15595.1&NavID=2289.1&NavID=2289.68",12,,,,,,,,,,,,,,,,6
Günzburg,Landkreis,3,https://landratsamt.landkreis-guenzburg.de/buergerservice/sicherheit-gesundheit-verbraucherschutz/gesundheit/covid-19,3,,,,,,,,,,,,,,,,9
Gütersloh,Kreis,91,https://www.kreis-guetersloh.de/aktuelles/corona/,91,,,,,,,,,,,,,,,,5
Hagen,Kreisfreie Stadt,8,https://www.hagen.de/web/de/hagen_de/home.html,8,,,,,,,,,,,,,,,,5
